"filename", "language", "JSON with Comments", "MS SQL", "TypeScript", "TypeScript JSX", "PostCSS", "Markdown", "JavaScript", "JSON", "comment", "blank", "total"
"c:\Users\1234\Desktop\mio-beauty-shop\src\app\catalog\products\page.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\1234\Desktop\mio-beauty-shop\src\app\category\[slug]\loading.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"c:\Users\1234\Desktop\mio-beauty-shop\src\app\category\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 0, 7, 50
"c:\Users\1234\Desktop\mio-beauty-shop\src\app\checkout\page.tsx", "TypeScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\1234\Desktop\mio-beauty-shop\src\app\checkout\success\page.tsx", "TypeScript JSX", 0, 0, 0, 37, 0, 0, 0, 0, 0, 4, 41
"c:\Users\1234\Desktop\mio-beauty-shop\src\app\favorites\page.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\1234\Desktop\mio-beauty-shop\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 36, 0, 0, 0, 0, 5, 41
"c:\Users\1234\Desktop\mio-beauty-shop\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 47, 0, 0, 0, 0, 0, 3, 50
"c:\Users\1234\Desktop\mio-beauty-shop\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 28, 0, 0, 0, 0, 0, 4, 32
"c:\Users\1234\Desktop\mio-beauty-shop\src\app\product\[slug]\page.tsx", "TypeScript JSX", 0, 0, 0, 108, 0, 0, 0, 0, 0, 12, 120
"c:\Users\1234\Desktop\mio-beauty-shop\src\app\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 0, 0, 0, 0, 3, 33
"c:\Users\1234\Desktop\mio-beauty-shop\src\app\robots.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\1234\Desktop\mio-beauty-shop\src\app\sitemap.ts", "TypeScript", 0, 0, 26, 0, 0, 0, 0, 0, 0, 6, 32
"c:\Users\1234\Desktop\mio-beauty-shop\src\components\CartPageContent.tsx", "TypeScript JSX", 0, 0, 0, 156, 0, 0, 0, 0, 0, 8, 164
